,grupos_ecoicop,periodo,variacion_anual,indice_general
0,01 Alimentos y bebidas no alcohólicas,2022-06-01,12.9,10.2
1,01 Alimentos y bebidas no alcohólicas,2022-05-01,11.0,8.7
2,01 Alimentos y bebidas no alcohólicas,2022-04-01,10.1,8.3
3,01 Alimentos y bebidas no alcohólicas,2022-03-01,6.8,9.8
4,01 Alimentos y bebidas no alcohólicas,2022-02-01,5.6,7.6
5,01 Alimentos y bebidas no alcohólicas,2022-01-01,4.8,6.1
6,01 Alimentos y bebidas no alcohólicas,2021-12-01,5.0,6.5
7,01 Alimentos y bebidas no alcohólicas,2021-11-01,3.3,5.5
8,01 Alimentos y bebidas no alcohólicas,2021-10-01,1.7,5.4
9,01 Alimentos y bebidas no alcohólicas,2021-09-01,1.8,4.0
10,01 Alimentos y bebidas no alcohólicas,2021-08-01,1.9,3.3
11,01 Alimentos y bebidas no alcohólicas,2021-07-01,1.7,2.9
12,01 Alimentos y bebidas no alcohólicas,2021-06-01,1.1,2.7
13,01 Alimentos y bebidas no alcohólicas,2021-05-01,0.8,2.7
14,01 Alimentos y bebidas no alcohólicas,2021-04-01,0.3,2.2
15,01 Alimentos y bebidas no alcohólicas,2021-03-01,1.4,1.3
16,01 Alimentos y bebidas no alcohólicas,2021-02-01,1.6,0.0
17,01 Alimentos y bebidas no alcohólicas,2021-01-01,1.7,0.5
18,01 Alimentos y bebidas no alcohólicas,2020-12-01,1.1,-0.5
19,01 Alimentos y bebidas no alcohólicas,2020-11-01,1.3,-0.8
20,01 Alimentos y bebidas no alcohólicas,2020-10-01,2.3,-0.8
21,01 Alimentos y bebidas no alcohólicas,2020-09-01,2.4,-0.4
22,01 Alimentos y bebidas no alcohólicas,2020-08-01,2.2,-0.5
23,01 Alimentos y bebidas no alcohólicas,2020-07-01,2.2,-0.6
24,01 Alimentos y bebidas no alcohólicas,2020-06-01,2.8,-0.3
25,01 Alimentos y bebidas no alcohólicas,2020-05-01,3.5,-0.9
26,01 Alimentos y bebidas no alcohólicas,2020-04-01,4.0,-0.7
27,01 Alimentos y bebidas no alcohólicas,2020-03-01,2.5,0.0
28,01 Alimentos y bebidas no alcohólicas,2020-02-01,2.0,0.7
29,01 Alimentos y bebidas no alcohólicas,2020-01-01,2.0,1.1
30,02 Bebidas alcohólicas y tabaco,2022-06-01,4.1,10.2
31,02 Bebidas alcohólicas y tabaco,2022-05-01,3.4,8.7
32,02 Bebidas alcohólicas y tabaco,2022-04-01,3.4,8.3
33,02 Bebidas alcohólicas y tabaco,2022-03-01,3.0,9.8
34,02 Bebidas alcohólicas y tabaco,2022-02-01,2.3,7.6
35,02 Bebidas alcohólicas y tabaco,2022-01-01,1.6,6.1
36,02 Bebidas alcohólicas y tabaco,2021-12-01,1.6,6.5
37,02 Bebidas alcohólicas y tabaco,2021-11-01,1.2,5.5
38,02 Bebidas alcohólicas y tabaco,2021-10-01,1.1,5.4
39,02 Bebidas alcohólicas y tabaco,2021-09-01,0.3,4.0
40,02 Bebidas alcohólicas y tabaco,2021-08-01,-0.2,3.3
41,02 Bebidas alcohólicas y tabaco,2021-07-01,-0.2,2.9
42,02 Bebidas alcohólicas y tabaco,2021-06-01,-0.3,2.7
43,02 Bebidas alcohólicas y tabaco,2021-05-01,-0.3,2.7
44,02 Bebidas alcohólicas y tabaco,2021-04-01,-0.1,2.2
45,02 Bebidas alcohólicas y tabaco,2021-03-01,0.0,1.3
46,02 Bebidas alcohólicas y tabaco,2021-02-01,0.2,0.0
47,02 Bebidas alcohólicas y tabaco,2021-01-01,0.4,0.5
48,02 Bebidas alcohólicas y tabaco,2020-12-01,0.3,-0.5
49,02 Bebidas alcohólicas y tabaco,2020-11-01,0.5,-0.8
50,02 Bebidas alcohólicas y tabaco,2020-10-01,0.5,-0.8
51,02 Bebidas alcohólicas y tabaco,2020-09-01,0.5,-0.4
52,02 Bebidas alcohólicas y tabaco,2020-08-01,0.5,-0.5
53,02 Bebidas alcohólicas y tabaco,2020-07-01,0.5,-0.6
54,02 Bebidas alcohólicas y tabaco,2020-06-01,0.7,-0.3
55,02 Bebidas alcohólicas y tabaco,2020-05-01,0.7,-0.9
56,02 Bebidas alcohólicas y tabaco,2020-04-01,0.7,-0.7
57,02 Bebidas alcohólicas y tabaco,2020-03-01,0.5,0.0
58,02 Bebidas alcohólicas y tabaco,2020-02-01,0.6,0.7
59,02 Bebidas alcohólicas y tabaco,2020-01-01,0.5,1.1
60,03 Vestido y calzado,2022-06-01,2.4,10.2
61,03 Vestido y calzado,2022-05-01,1.7,8.7
62,03 Vestido y calzado,2022-04-01,1.3,8.3
63,03 Vestido y calzado,2022-03-01,3.0,9.8
64,03 Vestido y calzado,2022-02-01,3.6,7.6
65,03 Vestido y calzado,2022-01-01,3.7,6.1
66,03 Vestido y calzado,2021-12-01,1.0,6.5
67,03 Vestido y calzado,2021-11-01,1.0,5.5
68,03 Vestido y calzado,2021-10-01,1.1,5.4
69,03 Vestido y calzado,2021-09-01,1.1,4.0
70,03 Vestido y calzado,2021-08-01,1.1,3.3
71,03 Vestido y calzado,2021-07-01,1.0,2.9
72,03 Vestido y calzado,2021-06-01,1.0,2.7
73,03 Vestido y calzado,2021-05-01,1.0,2.7
74,03 Vestido y calzado,2021-04-01,1.1,2.2
75,03 Vestido y calzado,2021-03-01,1.1,1.3
76,03 Vestido y calzado,2021-02-01,1.0,0.0
77,03 Vestido y calzado,2021-01-01,0.9,0.5
78,03 Vestido y calzado,2020-12-01,0.9,-0.5
79,03 Vestido y calzado,2020-11-01,0.9,-0.8
80,03 Vestido y calzado,2020-10-01,1.0,-0.8
81,03 Vestido y calzado,2020-09-01,1.0,-0.4
82,03 Vestido y calzado,2020-08-01,1.0,-0.5
83,03 Vestido y calzado,2020-07-01,1.0,-0.6
84,03 Vestido y calzado,2020-06-01,0.9,-0.3
85,03 Vestido y calzado,2020-05-01,0.9,-0.9
86,03 Vestido y calzado,2020-04-01,1.0,-0.7
87,03 Vestido y calzado,2020-03-01,1.1,0.0
88,03 Vestido y calzado,2020-02-01,1.1,0.7
89,03 Vestido y calzado,2020-01-01,1.1,1.1
90,"04 Vivienda, agua, electricidad, gas y otros combustibles",2022-06-01,19.0,10.2
91,"04 Vivienda, agua, electricidad, gas y otros combustibles",2022-05-01,17.5,8.7
92,"04 Vivienda, agua, electricidad, gas y otros combustibles",2022-04-01,18.8,8.3
93,"04 Vivienda, agua, electricidad, gas y otros combustibles",2022-03-01,33.1,9.8
94,"04 Vivienda, agua, electricidad, gas y otros combustibles",2022-02-01,25.4,7.6
95,"04 Vivienda, agua, electricidad, gas y otros combustibles",2022-01-01,18.1,6.1
96,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-12-01,23.3,6.5
97,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-11-01,16.8,5.5
98,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-10-01,20.5,5.4
99,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-09-01,14.5,4.0
100,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-08-01,11.5,3.3
101,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-07-01,9.4,2.9
102,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-06-01,10.9,2.7
103,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-05-01,10.4,2.7
104,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-04-01,10.0,2.2
105,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-03-01,4.3,1.3
106,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-02-01,-1.1,0.0
107,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-01-01,3.2,0.5
108,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-12-01,-0.1,-0.5
109,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-11-01,-2.2,-0.8
110,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-10-01,-3.6,-0.8
111,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-09-01,-1.4,-0.4
112,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-08-01,-2.7,-0.5
113,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-07-01,-3.9,-0.6
114,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-06-01,-3.8,-0.3
115,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-05-01,-6.0,-0.9
116,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-04-01,-6.6,-0.7
117,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-03-01,-4.8,0.0
118,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-02-01,-3.7,0.7
