MNP Estadística de Nacimientos
Fenómenos demográficos
Fenómenos demográficos por tipo de fenómeno demográfico.
Unidades: Nacimientos, Matrimonios, Defunciones
,Nacimiento,,,Matrimonio; mismo y distinto sexo,,,Defunción,,,
,MNP Estadística de Defunciones,MNP Estadística de Matrimonios,MNP Estadística de Nacimientos,MNP Estadística de Defunciones,MNP Estadística de Matrimonios,MNP Estadística de Nacimientos,MNP Estadística de Defunciones,MNP Estadística de Matrimonios,MNP Estadística de Nacimientos,
2021,"","",337.380,"",148.588,"",450.744,"","",
2020,"","",341.315,"",90.670,"",493.776,"","",
2019,"","",360.617,"","","","","","",
2018,"","",372.777,"",167.613,"",427.721,"","",
2017,"","",393.181,"",173.626,"",424.523,"","",
2016,"","",410.583,"",175.343,"",410.611,"","",
2015,"","",420.290,"",168.910,"",422.568,"","",
2014,"","",427.595,"",162.554,"",395.830,"","",
2013,"","",425.715,"",156.446,"",390.419,"","",
2012,"","",454.648,"",168.556,"",402.950,"","",
2011,"","",471.999,"",163.338,"",387.911,"","",
2010,"","",486.575,"",170.440,"",382.047,"","",
2009,"","",494.997,"",177.144,"",384.933,"","",
2008,"","",519.779,"",197.216,"",386.324,"","",
2007,"","",492.527,"",204.772,"",385.361,"","",
2006,"","",482.957,"",207.766,"",371.478,"","",
2005,"","",466.371,"",209.415,"",387.355,"","",
2004,"","",454.591,"",216.149,"",371.934,"","",
2003,"","",441.881,"",212.300,"",384.828,"","",
2002,"","",418.846,"",211.522,"",368.618,"","",
2001,"","",406.380,"",208.057,"",360.131,"","",
2000,"","",397.632,"",216.451,"",360.391,"","",
1999,"","",380.130,"",208.129,"",371.102,"","",
1998,"","",365.193,"",207.041,"",360.511,"","",
1997,"","",369.035,"",196.499,"",349.521,"","",
1996,"","",362.626,"",194.084,"",351.449,"","",
1995,"","",363.469,"",200.688,"",346.227,"","",
1994,"","",370.148,"",199.731,"",338.242,"","",
1993,"","",385.786,"",201.463,"",339.661,"","",
1992,"","",396.747,"",217.512,"",331.515,"","",
Notas:
Fuente: Instituto Nacional de Estadística
