Régimen y estado;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viviendas: Total;Total Nacional;01 Andalucía;;2024M03;8.805
Viviendas: Total;Total Nacional;01 Andalucía;;2024M02;9.606
Viviendas: Total;Total Nacional;01 Andalucía;;2024M01;10.290
Viviendas: Total;Total Nacional;01 Andalucía;;2023M12;7.519
Viviendas: Total;Total Nacional;01 Andalucía;;2023M11;9.857
Viviendas: Total;Total Nacional;01 Andalucía;;2023M10;8.894
Viviendas: Total;Total Nacional;01 Andalucía;;2023M09;8.554
Viviendas: Total;Total Nacional;01 Andalucía;;2023M08;10.519
Viviendas: Total;Total Nacional;01 Andalucía;;2023M07;9.891
Viviendas: Total;Total Nacional;01 Andalucía;;2023M06;10.753
Viviendas: Total;Total Nacional;01 Andalucía;;2023M05;11.736
Viviendas: Total;Total Nacional;01 Andalucía;;2023M04;8.878
Viviendas: Total;Total Nacional;01 Andalucía;;2023M03;11.283
Viviendas: Total;Total Nacional;01 Andalucía;;2023M02;9.749
Viviendas: Total;Total Nacional;01 Andalucía;;2023M01;11.498
Viviendas: Total;Total Nacional;01 Andalucía;;2022M12;9.125
Viviendas: Total;Total Nacional;01 Andalucía;;2022M11;11.646
Viviendas: Total;Total Nacional;01 Andalucía;;2022M10;10.845
Viviendas: Total;Total Nacional;01 Andalucía;;2022M09;11.658
Viviendas: Total;Total Nacional;01 Andalucía;;2022M08;12.594
Viviendas: Total;Total Nacional;01 Andalucía;;2022M07;10.832
Viviendas: Total;Total Nacional;01 Andalucía;;2022M06;11.858
Viviendas: Total;Total Nacional;01 Andalucía;;2022M05;11.713
Viviendas: Total;Total Nacional;01 Andalucía;;2022M04;9.850
Viviendas: Total;Total Nacional;01 Andalucía;;2022M03;12.071
Viviendas: Total;Total Nacional;01 Andalucía;;2022M02;11.101
Viviendas: Total;Total Nacional;01 Andalucía;;2022M01;11.354
Viviendas: Total;Total Nacional;01 Andalucía;;2021M12;10.726
Viviendas: Total;Total Nacional;01 Andalucía;;2021M11;11.065
Viviendas: Total;Total Nacional;01 Andalucía;;2021M10;9.761
Viviendas: Total;Total Nacional;01 Andalucía;;2021M09;11.720
Viviendas: Total;Total Nacional;01 Andalucía;;2021M08;10.359
Viviendas: Total;Total Nacional;01 Andalucía;;2021M07;10.269
Viviendas: Total;Total Nacional;01 Andalucía;;2021M06;9.997
Viviendas: Total;Total Nacional;01 Andalucía;;2021M05;9.493
Viviendas: Total;Total Nacional;01 Andalucía;;2021M04;8.586
Viviendas: Total;Total Nacional;01 Andalucía;;2021M03;8.936
Viviendas: Total;Total Nacional;01 Andalucía;;2021M02;8.684
Viviendas: Total;Total Nacional;01 Andalucía;;2021M01;8.391
Viviendas: Total;Total Nacional;01 Andalucía;;2020M12;7.175
Viviendas: Total;Total Nacional;01 Andalucía;;2020M11;7.702
Viviendas: Total;Total Nacional;01 Andalucía;;2020M10;7.890
Viviendas: Total;Total Nacional;01 Andalucía;;2020M09;7.644
Viviendas: Total;Total Nacional;01 Andalucía;;2020M08;6.230
Viviendas: Total;Total Nacional;01 Andalucía;;2020M07;6.589
Viviendas: Total;Total Nacional;01 Andalucía;;2020M06;5.280
Viviendas: Total;Total Nacional;01 Andalucía;;2020M05;4.348
Viviendas: Total;Total Nacional;01 Andalucía;;2020M04;5.384
Viviendas: Total;Total Nacional;01 Andalucía;;2020M03;6.918
Viviendas: Total;Total Nacional;01 Andalucía;;2020M02;9.007
Viviendas: Total;Total Nacional;01 Andalucía;;2020M01;9.314
Viviendas: Total;Total Nacional;01 Andalucía;;2019M12;7.047
Viviendas: Total;Total Nacional;01 Andalucía;;2019M11;8.260
Viviendas: Total;Total Nacional;01 Andalucía;;2019M10;8.718
Viviendas: Total;Total Nacional;01 Andalucía;;2019M09;7.286
Viviendas: Total;Total Nacional;01 Andalucía;;2019M08;7.158
Viviendas: Total;Total Nacional;01 Andalucía;;2019M07;9.527
Viviendas: Total;Total Nacional;01 Andalucía;;2019M06;8.266
Viviendas: Total;Total Nacional;01 Andalucía;;2019M05;9.190
Viviendas: Total;Total Nacional;01 Andalucía;;2019M04;8.576
Viviendas: Total;Total Nacional;01 Andalucía;;2019M03;8.897
Viviendas: Total;Total Nacional;01 Andalucía;;2019M02;8.222
Viviendas: Total;Total Nacional;01 Andalucía;;2019M01;8.957
Viviendas: Total;Total Nacional;01 Andalucía;;2018M12;6.862
Viviendas: Total;Total Nacional;01 Andalucía;;2018M11;8.172
Viviendas: Total;Total Nacional;01 Andalucía;;2018M10;8.912
Viviendas: Total;Total Nacional;01 Andalucía;;2018M09;8.505
Viviendas: Total;Total Nacional;01 Andalucía;;2018M08;9.090
Viviendas: Total;Total Nacional;01 Andalucía;;2018M07;8.847
Viviendas: Total;Total Nacional;01 Andalucía;;2018M06;9.223
Viviendas: Total;Total Nacional;01 Andalucía;;2018M05;9.258
Viviendas: Total;Total Nacional;01 Andalucía;;2018M04;8.240
Viviendas: Total;Total Nacional;01 Andalucía;;2018M03;7.446
Viviendas: Total;Total Nacional;01 Andalucía;;2018M02;7.774
Viviendas: Total;Total Nacional;01 Andalucía;;2018M01;9.083
Viviendas: Total;Total Nacional;01 Andalucía;;2017M12;6.283
Viviendas: Total;Total Nacional;01 Andalucía;;2017M11;8.446
Viviendas: Total;Total Nacional;01 Andalucía;;2017M10;7.219
Viviendas: Total;Total Nacional;01 Andalucía;;2017M09;7.407
Viviendas: Total;Total Nacional;01 Andalucía;;2017M08;8.150
Viviendas: Total;Total Nacional;01 Andalucía;;2017M07;7.253
Viviendas: Total;Total Nacional;01 Andalucía;;2017M06;8.429
Viviendas: Total;Total Nacional;01 Andalucía;;2017M05;8.706
Viviendas: Total;Total Nacional;01 Andalucía;;2017M04;6.112
Viviendas: Total;Total Nacional;01 Andalucía;;2017M03;8.047
Viviendas: Total;Total Nacional;01 Andalucía;;2017M02;6.698
Viviendas: Total;Total Nacional;01 Andalucía;;2017M01;6.857
Viviendas: Total;Total Nacional;01 Andalucía;;2016M12;5.677
Viviendas: Total;Total Nacional;01 Andalucía;;2016M11;6.805
Viviendas: Total;Total Nacional;01 Andalucía;;2016M10;5.729
Viviendas: Total;Total Nacional;01 Andalucía;;2016M09;6.785
Viviendas: Total;Total Nacional;01 Andalucía;;2016M08;7.319
Viviendas: Total;Total Nacional;01 Andalucía;;2016M07;6.651
Viviendas: Total;Total Nacional;01 Andalucía;;2016M06;7.575
Viviendas: Total;Total Nacional;01 Andalucía;;2016M05;6.901
Viviendas: Total;Total Nacional;01 Andalucía;;2016M04;6.691
Viviendas: Total;Total Nacional;01 Andalucía;;2016M03;6.231
Viviendas: Total;Total Nacional;01 Andalucía;;2016M02;6.705
Viviendas: Total;Total Nacional;01 Andalucía;;2016M01;6.283
Viviendas: Total;Total Nacional;01 Andalucía;;2015M12;5.585
Viviendas: Total;Total Nacional;01 Andalucía;;2015M11;5.779
Viviendas: Total;Total Nacional;01 Andalucía;;2015M10;5.213
Viviendas: Total;Total Nacional;01 Andalucía;;2015M09;6.264
Viviendas: Total;Total Nacional;01 Andalucía;;2015M08;6.027
Viviendas: Total;Total Nacional;01 Andalucía;;2015M07;6.565
Viviendas: Total;Total Nacional;01 Andalucía;;2015M06;6.157
Viviendas: Total;Total Nacional;01 Andalucía;;2015M05;6.167
Viviendas: Total;Total Nacional;01 Andalucía;;2015M04;5.520
Viviendas: Total;Total Nacional;01 Andalucía;;2015M03;5.310
Viviendas: Total;Total Nacional;01 Andalucía;;2015M02;5.989
Viviendas: Total;Total Nacional;01 Andalucía;;2015M01;6.131
Viviendas: Total;Total Nacional;01 Andalucía;;2014M12;5.420
Viviendas: Total;Total Nacional;01 Andalucía;;2014M11;5.218
Viviendas: Total;Total Nacional;01 Andalucía;;2014M10;5.190
Viviendas: Total;Total Nacional;01 Andalucía;;2014M09;5.341
Viviendas: Total;Total Nacional;01 Andalucía;;2014M08;4.787
Viviendas: Total;Total Nacional;01 Andalucía;;2014M07;5.878
Viviendas: Total;Total Nacional;01 Andalucía;;2014M06;5.380
Viviendas: Total;Total Nacional;01 Andalucía;;2014M05;5.648
Viviendas: Total;Total Nacional;01 Andalucía;;2014M04;4.772
Viviendas: Total;Total Nacional;01 Andalucía;;2014M03;5.500
