Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2024M06;38.226.012
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2024M05;35.744.250
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2024M04;27.142.842
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2024M03;24.533.888
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2024M02;18.547.585
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2024M01;16.447.837
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M12;17.924.023
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M11;19.049.140
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M10;32.475.331
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M09;38.085.285
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M08;46.669.159
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M07;43.156.470
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M06;36.255.025
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M05;32.187.667
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M04;28.046.754
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M03;20.597.741
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M02;16.816.547
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2023M01;15.472.477
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2022M12;16.627.833
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2022M11;17.661.676
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2022M10;29.865.924
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2022M09;35.999.861
